"""Customer Provided Item"" cannot be Purchase Item also","""Customer Provided Item"" cannot be Purchase Item also",
"""Customer Provided Item"" cannot have Valuation Rate","""Customer Provided Item"" cannot have Valuation Rate",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",
"""SN-01::10"" for ""SN-01"" to ""SN-10""","""SN-01::10"" for ""SN-01"" to ""SN-10""",
# In Stock,# In Stock,
# Req'd Items,# Req'd Items,
%  Delivered,%  Delivered,
% Amount Billed,% Amount Billed,
% Billed,% Billed,
% Complete Method,% Complete Method,
% Completed,% Completed,
% Finished Item Quantity,% Finished Item Quantity,
% Installed,% Installed,
% Occupied,% Occupied,
% Of Grand Total,% Of Grand Total,
% Ordered,% Ordered,
% Picked,% Picked,
% Process Loss,% Process Loss,
% Progress,% Progress,
% Received,% Received,
% Returned,% Returned,
% of materials billed against this Sales Order,% of materials billed against this Sales Order,
% of materials delivered against this Sales Order,% of materials delivered against this Sales Order,
'Account' in the Accounting section of Customer {0},'Account' in the Accounting section of Customer {0},
'Allow Multiple Sales Orders Against a Customer's Purchase Order','Allow Multiple Sales Orders Against a Customer's Purchase Order',
'Based On' and 'Group By' can not be same,'Based On' and 'Group By' can not be same,
'Date' is required,'Date' is required,
'Days Since Last Order' must be greater than or equal to zero,'Days Since Last Order' must be greater than or equal to zero,
'Default {0} Account' in Company {1},'Default {0} Account' in Company {1},
'Entries' cannot be empty,'Entries' cannot be empty,
'From Date' is required,'From Date' is required,
'From Date' must be after 'To Date','From Date' must be after 'To Date',
'Has Serial No' can not be 'Yes' for non-stock item,'Has Serial No' can not be 'Yes' for non-stock item,
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI","'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI",
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI","'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI",
'Opening','Opening',
'To Date' is required,'To Date' is required,
'To Package No.' cannot be less than 'From Package No.','To Package No.' cannot be less than 'From Package No.',
'Update Stock' can not be checked because items are not delivered via {0},'Update Stock' can not be checked because items are not delivered via {0},
'Update Stock' cannot be checked for fixed asset sale,'Update Stock' cannot be checked for fixed asset sale,
'{0}' account is already used by {1}. Use another account.,'{0}' account is already used by {1}. Use another account.,
'{0}' should be in company currency {1}.,'{0}' should be in company currency {1}.,
(A) Qty After Transaction,(A) Qty After Transaction,
(B) Expected Qty After Transaction,(B) Expected Qty After Transaction,
(C) Total Qty in Queue,(C) Total Qty in Queue,
(C) Total qty in queue,(C) Total qty in queue,
(D) Balance Stock Value,(D) Balance Stock Value,
(E) Balance Stock Value in Queue,(E) Balance Stock Value in Queue,
(F) Change in Stock Value,(F) Change in Stock Value,
(Forecast),(Forecast),
(G) Sum of Change in Stock Value,(G) Sum of Change in Stock Value,
(H) Change in Stock Value (FIFO Queue),(H) Change in Stock Value (FIFO Queue),
(H) Valuation Rate,(H) Valuation Rate,
(Hour Rate / 60) * Actual Operation Time,(Hour Rate / 60) * Actual Operation Time,
(I) Valuation Rate,(I) Valuation Rate,
(J) Valuation Rate as per FIFO,(J) Valuation Rate as per FIFO,
(K) Valuation = Value (D) ÷ Qty (A),(K) Valuation = Value (D) ÷ Qty (A),
(including),(including),
* Will be calculated in the transaction.,* Will be calculated in the transaction.,
0-30,0-30,
0-30 Days,0-30 Days,
